Link,Reason
https://www.linkedin.com/in/kajal-gupta-2a5b6a139,Actor profile
https://www.linkedin.com/in/pavan-kalyan-9a2190138,Actor profile
https://www.linkedin.com/in/pavan-kalyan-175959170,Actor profile
https://www.linkedin.com/in/samantha-a-54613599,Actor profile
https://www.linkedin.com/in/megha-dsouza-b627ab98/,NSFW Profile
https://www.linkedin.com/in/grant-peal-19919950/,Eva Mendes profile
https://www.linkedin.com/in/brittani-abbott-16a39728/,NSFW Profile
https://www.linkedin.com/in/sneha-rathod-521828143/,Actor profile
https://www.linkedin.com/in/tammana-mounika-70734915b/,Actor profile
https://www.linkedin.com/in/mahendra-singh-dhoni-106a5431/,cricketer profile
https://www.linkedin.com/in/dhoni-nani-4980ba146/,sportsman profile
https://www.linkedin.com/in/madhan-dhoni-31a493157/,sportsman profile
https://www.linkedin.com/in/pawan-kalyan-konidela-188903162/,Actor Profile
https://www.linkedin.com/in/mark-eliot-zuckerberg-8a2302142/,Fake CEO
https://www.linkedin.com/in/mark-zuckerberg-7517ba176/,Fake CEO
https://www.linkedin.com/in/mark-zuckerberg-0a136a176/,Fake CEO
https://www.linkedin.com/in/vijay-ananth-48436b167/,Fake CEO
https://www.linkedin.com/in/sugadev-dhoni-124225163/,sportsman profile
https://www.linkedin.com/in/dhoni-m-056217175/,sportsman profile
https://www.linkedin.com/in/arjun-reddy-71204834/,awkard profile
https://www.linkedin.com/in/arjun-reddy-285a6452/,god profile
https://www.linkedin.com/in/anushka-shetty-2b36913b/,Actors profile 
https://www.linkedin.com/in/mahesh-babu-34a210136/,Actors profile
https://www.linkedin.com/in/mahesh-babu-07707b20/,multiple profiles
https://www.linkedin.com/in/zain-yaseen-48970693/,fake cao
https://www.linkedin.com/in/shaurya-thukral-19b2b4169/,Fake CEO
https://www.linkedin.com/in/kunal-bahl-633009119/,Fake CEO
https://www.linkedin.com/in/rahul-kumar-a19bb6147/,Fake Profile
https://www.linkedin.com/in/talha-khan-98a6b9175/,Fake Profile
https://www.linkedin.com/in/good-fellas-5080b0163/,Fake CEO
https://www.linkedin.com/in/nishit-agarwal-8181babb/,Fake CEO
https://www.linkedin.com/in/manjeet-kumar-beniwal-0bb021169/,Fake CEO
https://www.linkedin.com/in/tanu-priya-a7b8b18/,Fake Hr
https://www.linkedin.com/in/nara-chandra-babu-naidu-61380b34/,Fake CM
https://www.linkedin.com/in/chandra-babu-naidu-nara-b5727643/,Fake CM
https://www.linkedin.com/in/venugopal-m-927765ba/,Actor profile
https://www.linkedin.com/in/bala-krishna-387678b9/,Sportsman profile
https://www.linkedin.com/in/ravi-dusi-b74534148/,Fake profile
https://www.linkedin.com/in/suganya-srinivasan-6a618578/,Actor profile
https://www.linkedin.com/in/abirami-murali-0a196516b/,Fake profile
https://www.linkedin.com/in/ern-senny-17789b129/,Fake profile
https://www.linkedin.com/in/anika-sri-nagalaxmi-46b54912b/,incorrect profile
https://www.linkedin.com/in/cromack-clive-alan-415291a7/,fake account
https://www.linkedin.com/in/james-b-onyelaraelu-158106a5/,fake profile

